fdate,market_volume,ln_market_volume
1999-07-09,701000000,20.368018444998864
1999-07-12,685300000,20.345367256556052
1999-07-13,736000000,20.416740676693152
1999-07-14,756100000,20.443684200528498
1999-07-15,818800000,20.52335041175141
1999-07-16,714100000,20.38653356651934
1999-07-19,642330000,20.28061274828347
1999-07-20,754800000,20.44196337145867
1999-07-21,785500000,20.48183101565995
1999-07-22,771700000,20.464106431427833
1999-07-23,630580000,20.26215058874608
1999-07-26,613450000,20.234609319201464
1999-07-27,723800000,20.400025669093917
1999-07-28,690900000,20.353505653459024
1999-07-29,770100000,20.462030934509478
1999-07-30,736800000,20.417827042905373
1999-08-02,649550000,20.291790373406016
1999-08-03,739600000,20.421620057477245
1999-08-04,789300000,20.486657034678633
1999-08-05,859300000,20.57162866228345
1999-08-06,698900000,20.365018228447358
1999-08-09,684300000,20.343906975922724
1999-08-10,836200000,20.54437837688674
1999-08-11,792300000,20.49045066593547
1999-08-12,745600000,20.429699821335657
1999-08-13,691700000,20.35466289357081
1999-08-16,583550000,20.184640695822637
1999-08-17,691500000,20.354373709069087
1999-08-18,682800000,20.34171254888456
1999-08-19,684200000,20.34376083050778
1999-08-20,661200000,20.30956692391114
1999-08-23,682600000,20.341419594436882
1999-08-24,732700000,20.412246899130192
1999-08-25,864600000,20.577777530197807
1999-08-26,719000000,20.39337191568532
1999-08-27,570050000,20.161234634244003
1999-08-30,597900000,20.208934073851132
1999-08-31,861700000,20.574417740209995
1999-09-01,708200000,20.378237097642078
1999-09-02,687100000,20.347990400001304
1999-09-03,663200000,20.31258716178536
1999-09-07,715300000,20.388212593078613
1999-09-08,791200000,20.489061338272776
1999-09-09,773900000,20.466953224240687
1999-09-10,808500000,20.510691236981437
1999-09-13,657900000,20.304563502056226
1999-09-14,734500000,20.414700553578207
1999-09-15,787300000,20.484119928154694
1999-09-16,739000000,20.420808478912477
1999-09-17,861900000,20.57464981261763
1999-09-20,568000000,20.157631976685426
1999-09-21,817300000,20.52151678248636
1999-09-22,822200000,20.52749423242805
1999-09-23,890800000,20.607630493347486
1999-09-24,872800000,20.587216992483135
1999-09-27,780600000,20.475573412710787
1999-09-28,885400000,20.601550078262314
1999-09-29,856000000,20.567780934106015
1999-09-30,1017600000,20.74071275055013
1999-10-01,896200000,20.613674160316318
1999-10-04,803300000,20.50423880114404
1999-10-05,965700000,20.688363784937145
1999-10-06,895200000,20.61255771496199
1999-10-07,827800000,20.534282137278907
1999-10-08,897300000,20.614900812268285
1999-10-11,655900000,20.301518896263964
1999-10-12,778300000,20.472622611929616
1999-10-13,821500000,20.526642495441596
1999-10-14,892300000,20.60931295687038
1999-10-15,912600000,20.631808226457576
1999-10-18,818700000,20.52322827434668
1999-10-19,905700000,20.624218683345177
1999-10-20,928800000,20.649403988347956
1999-10-21,1012500000,20.73568835694497
1999-10-22,959200000,20.68161016167758
1999-10-25,777000000,20.470950908331922
1999-10-26,878300000,20.593498778887344
1999-10-27,950100000,20.67207780017698
1999-10-28,1135100000,20.849986589725567
1999-10-29,1120500000,20.837040851205256
1999-11-01,861000000,20.573605062392005
1999-11-02,904500000,20.622892862799624
1999-11-03,914400000,20.633778670444876
1999-11-04,981700000,20.70479632066275
1999-11-05,1007300000,20.73053932091291
1999-11-08,806800000,20.50858636404433
1999-11-09,854300000,20.56579297812185
1999-11-10,984700000,20.70784758421803
1999-11-11,891300000,20.608191629100947
1999-11-12,900200000,20.618127518823105
1999-11-15,795700000,20.494732788347765
1999-11-16,942200000,20.663728124230214
1999-11-17,960000000,20.682443842426157
1999-11-18,1022800000,20.745809801381306
1999-11-19,893800000,20.610992594463625
1999-11-22,873500000,20.588018687538387
1999-11-23,926100000,20.646492778140498
1999-11-24,734800000,20.415108911305246
1999-11-26,312120000,19.558898287212834
1999-11-29,866100000,20.579510933301272
1999-11-30,951500000,20.67355024470048
1999-12-01,884000000,20.599967620601916
1999-12-02,900700000,20.618682796753973
1999-12-03,1006400000,20.72964544391045
1999-12-06,916800000,20.63639990392475
1999-12-07,1085800000,20.805582879435626
1999-12-08,957000000,20.679313949417228
1999-12-09,1122100000,20.838467766635095
1999-12-10,987200000,20.7103832111154
1999-12-13,977600000,20.700611146381604
1999-12-14,1027800000,20.750686432522404
1999-12-15,1033900000,20.75660389655692
1999-12-16,1070300000,20.791204819954604
1999-12-17,1349800000,21.023222270273582
1999-12-20,904600000,20.623003415008018
1999-12-21,963500000,20.686083045818695
1999-12-22,850000000,20.560746907448635
1999-12-23,728600000,20.406635442538736
1999-12-27,722600000,20.398366376677814
1999-12-28,655400000,20.30075629422899
1999-12-29,567860000,20.157385467431276
1999-12-30,554680000,20.133901928849937
1999-12-31,374050000,19.739900036282688
2000-01-03,931800000,20.65262875734697
2000-01-04,1009000000,20.732225578317884
2000-01-05,1085500000,20.80530654728262
2000-01-06,1092300000,20.811551401813773
2000-01-07,1225200000,20.926369932922896
2000-01-10,1064800000,20.786052825045175
2000-01-11,1014000000,20.737168742115404
2000-01-12,974600000,20.69753768837368
2000-01-13,1030400000,20.753212913314364
2000-01-14,1085900000,20.805674973187127
2000-01-18,1056700000,20.778416681411258
2000-01-19,1087800000,20.807423144953134
2000-01-20,1100700000,20.81921217799362
2000-01-21,1209800000,20.913720893637088
2000-01-24,1115800000,20.8328374733757
2000-01-25,1073700000,20.794376464404365
2000-01-26,1117300000,20.834180897517566
2000-01-27,1129500000,20.845040893872333
2000-01-28,1095800000,20.81475052706859
2000-01-31,993800000,20.717046537132493
2000-02-01,981000000,20.704083017529637
2000-02-02,1038600000,20.761139489374493
2000-02-03,1146500000,20.859979660262233
2000-02-04,1045100000,20.76737841156473
2000-02-07,918100000,20.637816875113927
2000-02-08,1047700000,20.769863122323194
2000-02-09,1050500000,20.77253207824933
2000-02-10,1058800000,20.78040202831722
2000-02-11,1025700000,20.748641143277638
2000-02-14,927300000,20.647787695770454
2000-02-15,1092100000,20.81136828516796
2000-02-16,1018800000,20.741891301069575
2000-02-17,1034800000,20.757474008276148
2000-02-18,1042300000,20.76469564670955
2000-02-22,980000000,20.70306312962889
2000-02-23,993700000,20.71694590820159
2000-02-24,1215000000,20.918009913738924
